title#episode#image_src#views#cmt#categorys#series#season#year#description 
Naruto-Shippuuden#500/500#https://img.anime47.com/imgur/Ltp8pyO.jpg#12202080 #10765#Hành Động|Hài Hước|Shounen|Super Power|Martial Arts#TV Series# Mùa Đông  Năm 2007#2007#Naruto shippuuden :Cuộc phiêu lưu Gió xoáyTiếp nối phần I sau khi cậu bé cùng sư phụ Jiraiya của mình đi tập luyện xa trở về làng Lá.Naruto Shippuden–ナルト 疾風伝 ( tạm dịch: Naruto : Cuộc phiêu lưu Gió xoáy) là bộ anime nối tiếp với bộ anime Naruto ban đầu và có mặt trong bộ manga Naruto từ tập 28 trở đi. Sau khi huấn luyện 2 năm rưỡi với Jiraiya, Naruto trở về làng Lá, đoàn tụ với những người bạn cậu đã chia tay, và lập lại Nhóm 7, giờ được gọi là Nhóm Kakashi, với Sai thế chỗ Sasuke. Tất cả những người bạn của Naruto đều đã trưởng thành và thăng cấp, có người hơn người khác. Không giống như phần đầu khi chúng chỉ đóng vai trò phụ, tổ chức Akatsuki chiếm lấy vai trò đối nghịch chính trong tham vọng thống trị thế giới.
Aly Le

Từ tập 1-->32: Chính truyện giải cứu GaaraTừ tập 33-->56: Chính truyện Sai xuất hiện, team 7 mới thành lập, nhiệm vụ thâm nhập hang ổ Orochimaru truy tìm Sasuke, Naruto bắt đầu luyện RasenshurikenTừ tập 57-->71: Ngoại truyện Thập Nhị Ninja Hộ VệTừ tập 72-->88: Chính truyện Hidan, Kakuzu bắt Nhị vĩ, cái chết của Asuma, Naruto luyện thành công Futon: Rasenshuriken, cái chết của Kakuzu và Hidan bị chôn sốngTừ tập 89--->112: Ngoại truyện Tam vĩ và Ninja sử dụng Guren, có ba cảnh trong chính truyện của tác giả ở phút 13:18 đến phút 14:12 tập 92 và phút 15:45 đến phút 17:15 tập 112 và cuối cùng từ phút 17:48 đến phút 18:45, đó cũng là cảnh Tobi (hay còn gọi là Uchiha Madara người đầu tiên trong dòng tộc Uchiha sở hữu sharingan) và Deidara bắt Tam vĩTừ tập 113-->143: Chính truyện Sasuke tiêu diệt Orochimaru thành lập nhóm Hebi với mục tiêu giết Itachi, Sasuke đấu với Deidara, Jiraiya đấu với Pain, Sasuke biết sự thật về Itachi thành lập team Taka với mục tiêu diệt Konoha và cuối cùng là đánh với Bee để bắt Bát vĩ. Đặc biệt tập 119, 120 là Chính truyện kể về nhóm Minato và nguyên nhân Kakashi có SharinganTừ tập 144-->151: Ngoại truyện về Jinchuriki lục vĩ UtakataTừ tập 152-->175: Chính truyện Naruto luyện tiên thuật trở thành Hiền Nhân và đánh bại Pain thủ lĩnh của Akatsuki từ tập 152-->169 và từ 172-->175, các tập 170,171 là ngoại truyệnTừ tập 176-->196: Ngoại truyệnTừ tập 197-->221: Chính truyện chuẩn bị cho đại chiến nhẫn giả lần thứ 4, Sasuke giết Danzo và tập 220, Kabuto sử dụng Edo Tensei ép Tobi liên thủ với mình. Tập 219 có cuộc chạy đua giữa Kakashi và Gai không có trong manga của tác giả nên cũng bị coi là ngoại truyện, chỉ có cảnh cuối cùng trong tập đó là chính truyệnTừ tập 222-->242: Ngoại truyệnTừ tập 243-->256: Chính truyện Naruto gặp Killer Bee và đấu với Kurama, gặp Kushina và quá khứ về ngày sinh của Naruto bao gồm đại chiến giữa Minato và Tobi. Tobi giết Konan lấy lại Rinnegan. Tập 256 là tập đại chiến nhẫn giả chính thức bắt đầuTừ tập 257-->260: câu chuyện tình yêu giữa đôi bạn trẻ Naruto xxx SasukeTừ tập 261-->275: Chính truyện, liên minh đối đầu Haku, Zabuza, Kinkaku, Ginkaku, Naruto thẳng tiến ra chiến trườngTừ tập 276-->278: Chính truyện quỷ tượng tấn công liên minh, khả năng biến thành người khác của Zetsu và cuộc trò chuyện giữa Naruto và Cửu vĩTừ tập 279-->281: Ngoại truyệnTừ tập 282-->283: Chính truyện Raikage bị Naruto thông não và cho phép nó ra chiến trườngTừ tập 284-->295: Ngoại truyệnTừ tập 296-->302: Chính truyện Naruto đại chiến Nagato, Itachi, Gaara đại chiến MizukageTừ tập 303-->320: Ngoại truyệnTừ tập 321--> giữa tập 347: Chính truyện Madara hồi sinh đại chiến ngũ đại Kage, Naruto, Bee đại chiến với Tobi và các Jinchuriki. Itachi, Sasuke đại chiến Kabuto, tạp giới chuyển sinh bị giải trừ. Tobi lộ chân tướng và quá khứ về ngày Obito bị đá đèTừ tập 349-->361: Ngoại truyện về KakashiTừ tập 362-->372: Cái chết của Neji, cha Shikamaru và cha Ino, sự hồi sinh của 4 Hokage và quá khứ của Madara và Hashirama. Tứ đại Hokage và nhóm Sasuke thẳng tiến tới chiến trườngTừ tập 373-->375: Tân Sannin ra đời cuộc chiến giữa Obito và KakashiTừ tập 376-->377: Ngoại truyệnTừ tập 378-->387: Chính truyện đối đầu với Obito lục đạo và Naruto sử dụng Ngu độn: thông não chi thuật đánh bại ObitoTừ tập 388-->390: Ngoại truyệnTừ tập 391-->393: Sự hồi sinh thật sự của Uchiha Madara, Naruto x Sasuke bị cụ hiếp đến hấp hốiTừ tập 394-->413: Ngoại truyện kì thi Chuunin lần 2Từ tập 414-->417: Obito quay về chính đạo và cứu Naruto, tập 416 và 1 phần 417 là ngoại truyệnTừ 418-->421: Gai đại chiến Madara, sự xuất hiện của Lục đạoTập 422-->423: Ngoại truyệnTập 424-->426: Madara thi triển ảo thuật vĩnh cửuTập 427-->450: Ngoại truyện về ảo mộng của các nhân vậtTập 451--> đến phút 10:30 tập 458: Ngoại truyện về ItachiTừ phút 10:31 tập 458-->459: Madara sang thái phẫu thuật chuyển giới và đổi tên thành Otsutsuki KaguyaTừ tập 460-->đến phút 15:39 tập 462: Ngoại truyện về lục đạo tiên nhân và em traiTừ phút 15:40 tập 462-->463: Chính truyện Naruto ép Kaguya xem phim đồi trụyTừ 464-->469: Ngoại truyện về Ashura và Indara và gương mặt thật của KakashiTừ tập 470-->479: Kaguya bị phong ấn, Naruto đại chiến Sasuke và chính thức khép lại Chính truyện của tác giả Kishi. Trong đó từ phút 7:20 đến 16:40 tập 479 là ngoại truyện do nhà sản xuất tự chế ra không hề có trong chính truyện của tác giả Kishitừ tập 480--> 500:Shikamaru Hiden, Konoha Hiden và hôn lễ của Naruto Hinata
 
Hội-Đuôi-Tiên-Phần-1-+-2#277/277#https://img.anime47.com/imgur/bm8KWPb.jpg#5721914 #4084#Hành Động|Hài Hước|Ecchi|Phiêu Lưu|Phép Thuật#TV Series# Mùa Thu  Năm 2009,2014#2009,2014#Câu chuyện về một cô thiếu nữ tên Lucy Heartfilia, khao khát của cô là gia nhập Hội Pháp sư nổi tiếng Fairy Tail. Trên đường phiêu lưu, Lucy đã vô tình gặp gỡ Natsu Salamander Dragneel, một thành viên của Fairy Tail, người sở hữu pháp thuật cổ đại Sát Long. Thế rồi Lucy được Natsu giới thiệu vào Hội Pháp sư Fairy Tail và cùng anh chàng này tham gia vô số nhiệm vụ khó khăn nhưng cũng không kém phần thú vị. 
Sword-Art-Online:-Đao-Kiếm-Thần-Vực-Phần-2#24/24#https://img.anime47.com/imgur/jkO1M6C.jpg#4792618 #984#Hành Động|Phiêu Lưu|Romance|Blu-ray|Fantasy|Game#TV Series# Mùa Hạ  Năm 2014#2014#Đây là phần thứ 3 sau SAO (Sword Art Online) và ALO (ALfheim Online) và nó được gọi là GGO (Gun Gale Online GGO). Lưu ý tuy là phần 3 như nó lại được tính là season 2. 
Black-Clover#155/??#https://img.anime47.com/imgur/3RPi4eW.jpg#4503544 #6654#Hành Động|Hài Hước|Phép Thuật|Shounen|Fantasy#TV Series# Mùa Thu  Năm 2017#2017#Asta và Yuno đã bị bỏ rơi cùng nhau tại cùng một nhà thờ và đã không thể tách rời kể từ đó. Khi còn trẻ, họ hứa sẽ cạnh tranh với nhau để xem ai sẽ trở thành Hoàng đế Magus tiếp theo. Tuy nhiên, khi chúng lớn lên, một số khác biệt giữa chúng trở nên đơn giản. Yuno là một thiên tài với ma thuật, với sức mạnh và khả năng kiểm soát tuyệt vời, trong khi Asta không thể sử dụng ma thuật chút nào, và cố gắng bù đắp cho sự thiếu hụt của mình bằng cách luyện tập thể chất. Khi họ nhận được Grimoa của họ ở tuổi 15, Yuno đã có một cuốn sách ngoạn mục với cỏ 4 lá (hầu hết mọi người đều có một cây cỏ ba lá), trong khi Asta không nhận được gì cả. Tuy nhiên, khi Yuno bị đe dọa, sự thật về sức mạnh của Asta đã được tiết lộ, anh đã nhận được một cây cỏ 5 lá Grimoire, một cỏ 5 lá đen! Bây giờ hai người bạn đang hướng tới trên thế giới, cả hai đều mong muốn cùng một mục tiêu!____________________________
Translator : Decade + Delay 
Encode : Kiều Dũng 
Over-Lord#13/13#https://img.anime47.com/imgur/QuaFt09.jpg#3889407 #8083#Hành Động|Phiêu Lưu|Phép Thuật|Fantasy|Game|Siêu Nhiên#TV Series# Mùa Hạ  Năm 2015#2015# Câu chuyện bắt đầu trong những giây phút cuối tại tại Yggdrasil, một game online đình đám sắp phải đóng cửa. Nhân vật chính Momonga của chúng ta quyết định ở lại đến tận những phút cuối cùng với trò chơi yêu thích của mình và chờ server down.  Bất ngờ, server không shutdown và Momonga bị mắc kẹt trong nhân vật của chính mình và xuyên việt tới thế giới khác. “Overlord hùng mạnh” giờ đây lại tiếp tục đi khám phá thế giới mới và đối mặt với những thử thách mới.  Không gia đình, bạn bè, địa vị xã hội, người đàn ông bình thường này sẽ cố gắng hết sức để thống trị thế giới mới này.  
BORUTO--NARUTO-NEXT-GENERATIONS--(-Naruto-Season-3)-|-Boruto:-Naruto-những-thế-hệ-kế-tiếp#178/?? #https://img.anime47.com/imgur/uh4u9jg.jpg#3808980 #5689#Hành Động|Hài Hước|Shounen|Super Power|Martial Arts#TV Series# Mùa Xuân  Năm 2017#2017#Naruto là một chàng trai trẻ đầy nhiệt huyết cũng như rất nghịch ngợm. Sau tất cả thì cậu cũng đã đạt được ước mơ của mình trở thành một Hokage vĩ đại nhất. Nhưng câu chuyện này không phải về Naruto, mà là câu chuyện về con trai của Naruto.... Chính là Boruto, thế hệ Ninja tiếp theo. 
Nanatsu-no-Taizai:-Thất-Hình-Đại-Tội#24/24#https://img.anime47.com/imgur/PXz6qHo.jpg#3806116 #1448#Hành Động|Phiêu Lưu|Phép Thuật|Shounen|Fantasy|Siêu Nhiên#TV Series# Mùa Thu  Năm 2014#2014#Thất đại ác nhân”, một nhóm chiến binh có tham vọng lật đổ vương quốc Britannia, được cho là đã bị tiêu diệt bởi các “hiệp sĩ thánh chiến” mặc dù vẫn còn 1 số người cho rằng họ vẫn còn sống. 10 năm sau, Các hiệp sĩ thánh chiến đã làm 1 cuộc đảo chính và khống chế đức vua, họ trở thành người cai trị độc tài mới của vương quốc. Elizabeth, con gái duy nhất của nhà vua, đã lên đường tìm “thất đại ác nhân” để nhờ họ tái chiếm lại vương quốc. 
